label,content
PI1.1.1,"Có kiến thức cơ bản về hệ thống pháp luật Việt Nam, về pháp luật Khám bệnh, Chữa bệnh và các văn bản qui phạm pháp luật khác liên quan đến hành nghề Y"
PI1.1.2,"Tuân thủ các quy định của Việt Nam về vai trò, trách nhiệm của bác sĩ y học cổ truyền, thực hiện tốt các quy tắc, văn hóa giao tiếp ứng xử của cán bộ y tế"
PI1.1.3,"Hành nghề trong phạm vi chuyên môn dược cấp phép, tuân thủ các quy định nghề nghiệp; báo cáo các hành vi vi phạm trong chuyên môn, hành nghề với cơ quan có thẩm quyền và chịu trách nhiệm cá nhân với những báo cáo đó"
PI1.2.1,"Chịu trách nhiệm cá nhân đưa ra những quyết định và can thiệp chăm sóc sức khỏe người bệnh, cộng đồng"
PI1.2.2,"Nhận biết các nguy cơ ảnh hưởng đến sự an toàn của người bệnh trong khám bệnh, chữa bệnh và chăm sóc người bệnh"
PI1.2.3,"Tôn trọng người bệnh, giữ thông tin bí mật liên quan đến người bệnh. Chỉ được phép công bố thông tin khi người bệnh đồng ý hoặc để chia sẻ thông tin nhằm nâng cao chất lượng chẩn đoán, điều trị, chăm sóc với những người hành nghề trong nhóm trực tiếp điều trị cho người bệnh hoặc trong trường hợp khác được pháp luật quy định"
PI1.2.4,"Phát huy vai trò, giá trị nghề nghiệp y học cổ truyền trong ngành y tế và xã hội bằng cam kết thực hiện 12 điều y đức, y huấn cách ngôn, các tiêu chuẩn thực hành lâm sàng tốt và chuẩn mực chuyên môn theo quy định hiện hành"
PI1.3.1,"Tôn trọng điều kiện kinh tế, phong tục, tập quán, tín ngưỡng, tôn giáo, văn hóa của mỗi vùng miền và cá nhân"
PI1.3.2,Sẵn sàng thích ứng với các hoàn cảnh đặc biệt để thực hiện hoặc phối hợp với đồng nghiệp trong các hoạt động chuyên môn
PI1.3.3,"Tiếp cận người bệnh và những vấn đề sức khỏe cộng đồng một cách khoa học, trung thực, trách nhiệm, cảm thông và vị tha"
PI1.3.4,"Hành nghề dựa trên nguyên tắc công bằng, không phân biệt các thành phần xã hội"
PI1.4.1,"Xác định nhu cầu thực tế công việc, mục tiêu phát triển nghề nghiệp cá nhân, lập kế hoạch học tập/bồi dưỡng, tham gia các hoạt động đào tạo phát triển nghề nghiệp và các hoạt động xã hội của địa phương, trong nước và quốc tế với vai trò tư vấn về Y học cổ truyền"
PI1.4.2,"Thường xuyên học tập nâng cao trình độ chuyên môn y học cổ truyền và y học hiện đại, ứng dụng tiến bộ khoa học - công nghệ phục vụ cho quá trình hoạt động nghề nghiệp"
PI1.4.3,"Chủ động thu thập, tự đánh giá và sử dụng các nguồn thông tin phản hồi về công việc của bản thân một cách hệ thống, thường xuyên, và có cơ sở khoa học"
PI1.4.4,"Thừa kế, nghiên cứu và phát triển cơ sở lý luận y học cổ truyền kết hợp y học hiện đại về thuốc, bào chế, châm cứu, dưỡng sinh và điều trị y học cổ truyền trong thực hành lâm sàng, nghiên cứu khoa học và đào tạo"
PI1.4.5,"Tham gia các hoạt động đào tạo, đào tạo nâng cao kiến thức chuyên môn trong phạm vi một số chuyên ngành khác đáp ứng mục tiêu kết hợp y học cổ truyền và y học hiện đại; phát triển nghề nghiệp liên tục (CPD) nâng cao tay nghề phù hợp với công việc. Hỗ trợ nâng cao trình độ và phát triển nghề nghiệp cho đồng nghiệp"
PI1.4.6,"Tìm kiếm và xử lý các thông tin y học phục vụ chăm sóc bệnh nhân; tiếp cận các thông tin lâm sàng lưu trữ trong hồ sơ bệnh án (giấy và điện tử), thư viện, các nguồn thông tin trực tuyến một cách phù hợp, đầy đủ, chính xác đảm bảo tính bảo mật và tính pháp lý"
PI1.4.7,"Sử dụng công nghệ thông tin, sử dụng ngoại ngữ (tiếng Anh hoặc tiếng Trung hoặc ngoại ngữ khác) trong học tập, nghiên cứu khoa học và phát triển nghề nghiệp"
PI1.5.1,"Tuân thủ tiêu chuẩn, quy tắc an toàn lao động và các chính sách, quy trình phòng ngừa cách ly, kiểm soát nhiễm khuẩn"
PI1.5.2,"Tuân thủ quy định về kiểm soát môi trường cơ sở y tế (tiếng ồn, không khí, nguồn nước ...); quy định về quản lý, xử lý chất thải y tế và chất thải sinh hoạt"
PI1.5.3,"Tuân thủ an toàn phòng cháy chữa cháy, động đất hoặc các trường hợp khẩn cấp khác"
PI2.1.1,"Giải thích cấu trúc, chức năng và sự phát triển bình thường về thể chất và tinh thần con người qua các giai đoạn phát triển trong mối tương tác với môi trường tự nhiên và xã hội theo y học hiện đại và y học cổ truyền"
PI2.1.2,"Giải thích mối tương tác giữa cấu trúc và chức năng của cơ thể, giữa các hệ thống cơ quan trong điều kiện bình thường và bệnh lý, cơ chế bệnh sinh và các yếu tố tiên lượng bệnh tật theo y học hiện đại và y học cổ truyền"
PI2.1.3,"Ứng dụng khái niệm khoa học xã hội, chính trị và pháp luật liên quan vào y học cổ truyền"
PI2.1.4,"Ứng dụng các nguyên lý cơ bản của lý luận y học cổ truyền (Âm dương, ngũ hành, tạng phủ, kinh lạc, tinh, khí, thần, huyết, tân dịch, nguyên nhân gây bệnh...) trong chẩn đoán, điều trị, phòng bệnh và nâng cao sức khỏe"
PI2.1.5,"Sử dụng kiến thức cơ bản trong các tác phẩm kinh điển như Hải Thượng Y Tông Tâm Lĩnh, Nam Dược Thần Hiệu, Hoàng Đế Nội Kinh Tố vấn-Linh khu, Thương Hàn Luận, Kim Quỹ Yếu Lược... trong chẩn đoán, điều trị, dự phòng và nâng cao sức khỏe."
PI2.1.6,"Ứng dụng các nguyên tắc cơ bản của châm cứu về kinh lạc, huyệt vị và xây dựng công thức huyệt theo nguyên tắc lý - pháp - phương huyệt kết hợp với nguyên lý của y học hiện đại trong chẩn đoán và điều trị"
PI2.1.7,Ứng dụng kiến thức về chỉ định và chống chỉ định khi sử dụng các phương pháp kích thích huyệt
PI2.1.8,"Ứng dụng kiến thức về phương pháp dưỡng sinh, xoa bóp, bấm huyệt và các phương pháp không dùng thuốc khác"
PI2.1.9,"Ứng dụng kiến thức thực vật-dược liệu, tính vị, quy kinh, công năng chủ trị và tác dụng dược lý của thuốc Y học cổ truyền trong điều trị, dự phòng và nâng cao sức khỏe"
PI2.1.10,"Thiết lập bài thuốc dựa vào: cấu tạo, gia giảm, chức năng, phân loại, tương tác; dạng bào chế và cách sử dụng; liều dùng; tác dụng phụ; chống chỉ định và thận trọng"
PI2.1.11,"Vận dụng kiến thức về tương tác thuốc y học cổ truyền trong kế hoạch điều trị (tương tác thuốc y học cổ truyền - thuốc hóa dược, thuốc y học cổ truyền - thuốc y học cổ truyền, thuốc y học cổ truyền - thực phẩm)"
PI2.1.12,"Giải thích những nguyên tắc cơ bản trong chỉ định, chống chỉ định, cách thức tiến hành các quy trình, kỹ thuật thăm khám, xét nghiệm phục vụ chẩn đoán, điều trị các bệnh và chứng bệnh thường gặp"
PI2.1.13,Giải thích các nguyên tắc và cách giải quyết các vấn đề cấp cứu cơ bản ban đầu bằng phương pháp y học cổ truyền kết hợp y học hiện đại
PI2.1.14,Đánh giá hiệu quả can thiệp y tế dựa vào bằng chứng
PI2.2.1,"Hiểu nguyên tắc, mô hình, hệ thống tổ chức, chức năng, nhiệm vụ mạng lưới y tế Việt Nam, mối quan hệ giữa ngành y tế với các ngành liên quan. Xác định được tầm quan trọng kết hợp y học cổ truyền và y học hiện đại trong hệ thống y tế Việt Nam và quốc tế"
PI2.2.2,"Phân tích các khái niệm, nguyên lý cơ bản của dịch tễ học, chỉ số sức khỏe, yếu tố nguy cơ, mối liên quan giữa các yếu tố nguy cơ bệnh, dịch bệnh trên cơ sở kết hợp y học hiện đại và y học cổ truyền"
PI2.2.3,"Giải thích nguyên tắc và ứng dụng trong dự phòng bệnh tật; chiến lược dự phòng, tiếp cận dự phòng dựa vào cộng đồng và yếu tố nguy cơ cao trong phòng ngừa, nâng cao sức khỏe bằng y học hiện đại kết hợp y học cổ truyền"
PI2.2.4,"Phân tích vai trò dinh dưỡng, thực dưỡng y học cổ truyền với sức khỏe cộng đồng"
PI2.2.5,"Có kiến thức cơ bản về dân số, sức khỏe sinh sản; mối liên quan giữa dân số - sức khỏe sinh sản và phát triển xã hội"
PI2.2.6,"Giải thích vai trò và có kỹ năng áp dụng các phương pháp, phương tiện của truyền thông giáo dục và nâng cao sức khỏe; các yếu tố ảnh hưởng đến sức khỏe và quá trình thay đổi hành vi sức khỏe trong phòng ngừa bệnh tật, nâng cao sức khỏe"
PI2.3.1,"Xác định các lĩnh vực nghiên cứu y học cổ truyền, y học cổ truyền kết hợp y học hiện đại trong thực hành tìm kiếm tài liệu"
PI2.3.2,"Thể hiện khả năng tham gia nghiên cứu về y học cổ truyền, y học cổ truyền kết hợp y học hiện đại trên cơ sở y học bằng chứng và đạo đức nghiên cứu"
PI3.1.1,Xác định các vấn đề sức khỏe ưu tiên nhằm đánh giá và lập kế hoạch chăm sóc toàn diện phù hợp với người bệnh bằng phương pháp y học cổ truyền kết hợp y học hiện đại
PI3.2.1,Thu thập thông tin về tiền sử người bệnh và gia đình người bệnh liên quan đến vấn đề sức khỏe hiện tại
PI3.2.2,"Thực hiện khám y học hiện đại, chỉ định và đánh giá kết quả xét nghiệm cận lâm sàng của các bệnh thường gặp"
PI3.2.3,"Thực hiện khám y học cổ truyền theo tứ chẩn: Vọng - Văn - Vấn - Thiết. Quy nạp và biện chứng luận trị thông tin thu thập theo bát cương, tạng phủ, khí huyết tân dịch, kinh lạc, nguyên nhân gây bệnh"
PI3.2.4,Đưa ra chẩn đoán xác định và chẩn đoán phân biệt các bệnh thường gặp theo y học hiện đại và y học cổ truyền dựa theo phân loại bệnh tật quốc tế ICD và danh pháp y học cổ truyền của tổ chức y tế thế giới
PI3.2.5,"Phát hiện những trường hợp người bệnh vượt quá khả năng chuyên môn và tiến hành chuyển người bệnh đến đúng nơi, đúng tuyến, đúng thời điểm theo quy định về chuyên môn"
PI3.2.6,"Lập hồ sơ bệnh án cho người bệnh theo nguyên tắc lấy người bệnh làm trung tâm, đảm bảo bí mật, trung thực, khách quan, khoa học và chính xác"
PI3.3.1,"Xây dựng kế hoạch kết hợp điều trị bằng y học hiện đại dựa trên: chẩn đoán, nguyên tắc điều trị, mục tiêu điều trị và phương thức điều trị; Thiết lập liệu trình điều trị phù hợp người bệnh theo quy định hiện hành về chuyên môn"
PI3.3.2,"Xây dựng kế hoạch điều trị bằng y học cổ truyền trên nguyên tắc lý - pháp - phương - dược và lý - pháp - phương - huyệt dựa trên chẩn đoán, mục tiêu điều trị, phòng bệnh, phục hồi sức khỏe theo quy định hiện hành về chuyên môn"
PI3.3.3,Xây dựng kế hoạch điều trị kết hợp y học cổ truyền với y học hiện đại phù hợp và hiệu quả
PI3.4.1,Giải thích các chỉ định và các tác dụng không mong muốn cho người bệnh khi điều trị bằng phương pháp không dùng thuốc và thuốc dùng ngoài
PI3.4.2,"Đánh giá nguy cơ, tai biến của người bệnh khi sử dụng các kỹ thuật điều trị không dùng thuốc và thuốc dùng ngoài"
PI3.4.3,"Lựa chọn tư thế người bệnh, tạo môi trường an toàn, thoải mái cho người bệnh"
PI3.4.4,"Xác định phương pháp điều trị không dùng thuốc hoặc phương pháp dùng thuốc ngoài phù hợp với chẩn đoán và thực hiện các thủ thuật, động tác kỹ thuật theo quy trình kỹ thuật quy định của Bộ Y tế"
PI3.4.5,"Theo dõi thường xuyên, phát hiện và xử lý kịp thời các tai biến trong quá trình chăm sóc điều trị."
PI3.5.1,"Tuân thủ nguyên tắc và quy chế kê đơn thuốc y học cổ truyền, thuốc hóa dược trên nguyên tắc an toàn, hợp lý, hiệu quả; giải thích và trao đổi với người bệnh, người nhà và đồng nghiệp"
PI3.5.2,"Thực hiện những nguyên tắc trong sử dụng kháng sinh và thuốc hóa dược cho người bệnh, hạn chế tình trạng kháng thuốc"
PI3.5.3,"Lựa chọn phương pháp sử dụng thuốc Y học cổ truyền, thuốc hóa dược an toàn, hợp lý và hiệu quả theo hướng dẫn của Bộ Y tế và cơ quan quản lý cấp tỉnh và thành phố ban hành"
PI3.5.4,Sử dụng thuốc y học cổ truyền theo nguyên tắc quân - thần - tá - sứ và biện chứng luận trị
PI3.5.5,"Sử dụng thuốc hóa dược một cách an toàn và hiệu quả dựa trên kiến thức dược lý, dược động học, dược lực học, tương tác thuốc và độc tính"
PI3.5.6,"Lựa chọn dạng thuốc phù hợp, tính toán liều lượng hợp lý, phát hiện và xử trí các dấu hiệu của tác dụng không mong muốn khi sử dụng thuốc y học cổ truyền và thuốc hóa dược"
PI3.6.1,"Theo dõi, đánh giá và điều chỉnh phương pháp điều trị phù hợp để nâng cao hiệu quả"
PI3.6.2,"Xác định và tạo điều kiện để người bệnh tiếp cận các lựa chọn điều trị phù hợp hơn bao gồm: hội chẩn, phối hợp với các chuyên khoa khác khi cần thiết"
PI3.7.1,"Đánh giá đầy đủ, phân loại, ra quyết định xử trí kịp thời, phù hợp và tiên lượng đối với các trường hợp đe dọa tính mạng và/hoặc không đe dọa ngay tính mạng nhưng đòi hỏi điều trị sớm, tích cực"
PI3.7.2,"Xử trí các trường hợp cấp cứu cơ bản (ngừng tuần hoàn, ngừng thở, sốc phản vệ) theo phác đồ chuyên môn của Bộ Y tế"
PI3.7.3,"Giải thích, tư vấn cho người bệnh và gia đình về hiệu quả điều trị và tiên lượng bệnh"
PI3.7.4,"Phối hợp hiệu quả trong nhóm chăm sóc trong sơ cứu, cấp cứu"
PI3.7.5,Thực hiện được nguyên tắc chuyển viện an toàn của Bộ Y tế
PI3.8.1,"Kết hợp các chuyên khoa cùng nhân viên y tế, người bệnh, người nhà thực hiện chăm sóc giảm nhẹ và kiểm soát đau theo phác đồ của Bộ Y tế cho người bệnh"
PI3.8.2,Lựa chọn và thực hiện các kỹ thuật giảm đau bằng phương pháp y học cổ truyền kết hợp y học hiện đại một cách phù hợp theo phác đồ của Bộ Y tế
PI3.8.3,"Nâng cao chất lượng cuộc sống của người bệnh, giảm đau về thể xác và tinh thần bằng phương pháp y học cổ truyền kết hợp y học hiện đại giúp người bệnh duy trì cuộc sống độc lập"
PI3.8.4,"Sử dụng thuốc, thiết bị hỗ trợ và những dịch vụ xã hội, vận chuyển phù hợp"
PI3.9.1,"Xác định nhu cầu và những nội dung cần hướng dẫn về ăn uống, sinh hoạt và tập luyện, giáo dục sức khỏe cho cá nhân, gia đình và cộng đồng bằng y học cổ truyền kết hợp y học hiện đại"
PI3.9.2,"Thực hiện tư vấn, truyền thông giáo dục sức khỏe nâng cao kiến thức, lối sống lành mạnh như một phương thức cải thiện, duy trì sức khỏe và phòng bệnh bằng y học cổ truyền và y học hiện đại"
PI3.10.1,"Tham gia chăm sóc, quản lý sức khỏe cho bà mẹ tại cơ sở y tế bằng phương pháp y học hiện đại kết hợp y học cổ truyền"
PI3.10.2,"Tham gia chăm sóc, quản lý sức khỏe cho trẻ em tại cơ sở y tế bằng phương pháp y học hiện đại kết hợp y học cổ truyền"
PI3.11.1,Xác định người bệnh đã tử vong
PI3.11.2,"Thực hiện các bước khi người bệnh tử vong theo quy định của luật Khám bệnh, Chữa bệnh"
PI4.1.1,"Sử dụng ngôn ngữ nói, viết, thuật ngữ y học hiện đại và y học cổ truyền thích hợp và hiệu quả"
PI4.1.2,"Thực hiện giao tiếp hiệu quả bằng ngôn ngữ có lời và ngôn ngữ không lời với người bệnh, gia đình, đồng nghiệp và cộng đồng"
PI4.1.3,Nhận biết được giao tiếp không thành công và lựa chọn chiến lược giao tiếp khác
PI4.1.4,"Giao tiếp có hiệu quả trong các tình huống trở ngại giao tiếp như người già, trẻ em, khó khăn về nghe, nhìn, nói, người dân tộc thiểu số"
PI4.1.5,"Xử trí tình huống giao tiếp khó như người bệnh kích động, những đối tượng dễ tổn thương, bị bạo hành, chuẩn bị về tâm lý cho người bệnh và gia đình trước khi cung cấp những thông tin về diễn biến xấu của bệnh, trung thực thừa nhận sự thiếu thông tin và sai sót nếu có"
PI4.2.1,"Dành thời gian cần thiết lắng nghe, chia sẻ, giải quyết những băn khoăn, lo lắng của người bệnh và gia đình người bệnh"
PI4.2.2,"Hiểu biết về nhu cầu, các yếu tố tâm sinh lý, văn hóa xã hội ảnh hưởng đến người bệnh"
PI4.2.3,"Tạo được mối quan hệ thân thiện, hợp tác với cộng đồng và các tổ chức, cá nhân liên quan tới môi trường khám bệnh, chữa bệnh"
PI4.2.4,"Hướng dẫn, khuyến khích và thảo luận với người bệnh, người nhà và các tổ chức xã hội khác tham gia vào việc ra quyết định và giải quyết các vấn đề sức khỏe trên cơ sở đồng thuận"
PI4.3.1,"Đảm bảo giao tiếp và cộng tác theo nguyên tắc: bình đẳng, chân thành, tôn trọng, quan tâm, chia sẻ, đàm phán, thương lượng, không gượng ép và hóa giải các xung đột"
PI4.3.2,"Xác định vai trò và mối quan hệ của các thành viên trong nhóm làm việc; tổ chức, điều phối nhiệm vụ chăm sóc người bệnh cho các thành viên trong nhóm đảm bảo chăm sóc liên tục, an toàn, chi phí hợp lý và hiệu quả"
PI4.3.3,"Thường xuyên trao đổi ý kiến với đồng nghiệp để phát hiện các trường hợp vượt quá khả năng giải quyết, đảm bảo an toàn cho người bệnh. Tuân thủ nguyên tắc hội chẩn và thực hiện quyết định hội chẩn"
PI5.1.1,"Có khả năng thu thập thông tin, xác định mục tiêu và lập kế hoạch cho các công việc được phân công"
PI5.1.2,Tham gia quy trình lập kế hoạch chung của đơn vị
PI5.2.1,Vận dụng các nguyên tắc tổ chức và có khả năng xác định được các vấn đề về nhân lực theo vị trí việc làm tại nơi làm việc
PI5.2.2,"Hiểu được vai trò của cá nhân trong cơ cấu tổ chức. Thực hiện và góp phần cải tiến các thủ tục, quy trình tại nơi làm việc"
PI5.2.3,"Sắp xếp thứ tự ưu tiên trong công việc, thực hiện theo quy trình và đảm bảo đúng tiến độ công việc theo kế hoạch đề ra"
PI5.2.4,Làm việc hiệu quả với nhà quản lý và đồng nghiệp
PI5.2.5,"Độc lập, tự chủ trong công việc, có ảnh hưởng tích cực tới đồng nghiệp, chịu trách nhiệm cá nhân tại nơi làm việc"
PI5.2.6,Có khả năng truyền đạt thông tin và khả năng thuyết phục
PI5.3.1,"Có khả năng tự đánh giá, giám sát công việc của bản thân"
PI5.3.2,"Phát hiện được một số vấn đề tồn tại trong công việc, đưa ra được ý kiến đề xuất khắc phục"
PI5.4.1,Lập kế hoạch giải quyết được các vấn đề sức khỏe ưu tiên và kế hoạch thực hiện phát triển y học cổ truyền kết hợp y học hiện đại
PI5.4.2,Quản lý hồ sơ sức khỏe y học cổ truyền lồng ghép y học hiện đại
PI5.5.1,"Cung cấp dịch vụ y học cổ truyền, y học cổ truyền kết hợp y học hiện đại trong chăm sóc sức khỏe theo danh mục kỹ thuật của Bộ Y tế ban hành"
